bp,key,label,family,latency_ns,energy_nj,area_ge,ned,mred_pct,ed_max
30,axdr1,AXDr1,approximate,190.907038,27.33965,3528.0,1.32,4.32,51
30,axdr3,AXDr3,approximate,202.595224,28.504497,3744.0,0.97,3.25,85
30,seerad4,SEERAD-4,approximate,225.971596,32.958325,4176.0,1.09,2.71,165
30,daxd,DAXD,approximate,214.28341,30.902712,3960.0,7.44,16.39,240
30,sc,SC Divider,approximate,4402341478.4,670014.898176,2160.0,15.0,25.0,500
30,rapid,RAPID,approximate,7.488269,0.105,2304.0,3.5,7.2,120
30,fpca3d,3D-FPCA,approximate,308.6492,33.795435,6120.0,2.5,5.8,60
31,exact_array,Exact Array,exact,406.9551,73.186362,7688.0,0.0,0.0,0
31,exact_log,Exact Logarithmic,exact,5.7044,1.42059,4228.4,0.0,0.0,0
31,aaxd,AAXD,approximate,158.712489,22.395027,2921.44,2.97,6.61,49
31,inzed,INZeD,approximate,170.921142,24.73699,3228.96,4.5,8.2,85
31,axdr1,AXDr1,approximate,199.407999,29.201358,3767.12,1.32,4.32,51
31,axdr3,AXDr3,approximate,211.616652,30.445526,3997.76,0.97,3.25,85
31,seerad4,SEERAD-4,approximate,236.033958,35.20264,4459.04,1.09,2.71,165
31,daxd,DAXD,approximate,223.825305,33.007049,4228.4,7.44,16.39,240
31,sc,SC Divider,approximate,8804682956.8,1340029.796352,2306.4,15.0,25.0,500
31,rapid,RAPID,approximate,7.545036,0.1116,2460.16,3.5,7.2,120
31,fpca3d,3D-FPCA,approximate,325.50171,36.095481,6534.8,2.5,5.8,60
32,exact_array,Exact Array,exact,424.5248,78.005874,8192.0,0.0,0.0,0
32,exact_log,Exact Logarithmic,exact,5.7044,1.466416,4505.6,0.0,0.0,0
32,aaxd,AAXD,approximate,165.564672,23.869797,3112.96,2.97,6.61,49
