bit_precision,adder,label,family,latency_ns,energy_nj,area_ge
29,sklansky,Sklansky,exact,4.6,0.446744,63.263
29,kogge,Kogge-Stone,exact,4.271,1.126769,159.562
29,carrysel,Carry-Select,exact,4.342,0.559398,79.217
29,rbr,RBR,exact,2.194,0.885959,125.461
29,loa,LOA,approximate,3.5473,0.110389,15.86
29,ccba,CCBA,approximate,3.7071,0.096916,16.426
29,trua,TruA,approximate,3.1854,0.096833,13.52
29,gear,GeAr,approximate,4.1348,0.139255,24.36
29,csa,CSA,approximate,4.4913,0.126968,20.88
30,full,Full (RCA),exact,7.368,0.211849,30.0
30,sklansky,Sklansky,exact,4.6,0.463268,65.604
30,kogge,Kogge-Stone,exact,4.271,1.206626,170.871
30,carrysel,Carry-Select,exact,4.342,0.578688,81.948
30,rbr,RBR,exact,2.194,0.91651,129.787
30,loa,LOA,approximate,3.683,0.114414,16.47
30,ccba,CCBA,approximate,3.8314,0.100734,17.128
30,trua,TruA,approximate,3.3071,0.100363,14.04
30,gear,GeAr,approximate,4.2734,0.144057,25.2
30,csa,CSA,approximate,4.6418,0.131346,21.6
31,full,Full (RCA),exact,7.607,0.218911,31.0
31,sklansky,Sklansky,exact,4.6,0.479807,67.946
31,kogge,Kogge-Stone,exact,4.271,1.290546,182.755
31,carrysel,Carry-Select,exact,4.342,0.597978,84.68
31,rbr,RBR,exact,2.194,0.94706,134.113
31,loa,LOA,approximate,3.8188,0.118439,17.08
31,ccba,CCBA,approximate,3.9556,0.104585,17.84
31,trua,TruA,approximate,3.4291,0.103894,14.56
31,gear,GeAr,approximate,4.4121,0.148859,26.04
31,csa,CSA,approximate,4.7924,0.135725,22.32
32,full,Full (RCA),exact,7.846,0.225972,32.0
32,sklansky,Sklansky,exact,4.6,0.496361,70.29
32,kogge,Kogge-Stone,exact,4.271,1.378659,195.232
32,carrysel,Carry-Select,exact,4.342,0.617267,87.411
32,rbr,RBR,exact,2.194,0.97761,138.44
32,loa,LOA,approximate,3.9388,0.121831,17.507
32,ccba,CCBA,approximate,4.0799,0.108467,18.56
32,trua,TruA,approximate,3.5369,0.106869,14.924
32,gear,GeAr,approximate,4.5507,0.153661,26.88
32,csa,CSA,approximate,4.943,0.140103,23.04
