bit_precision,multiplier,label,family,latency_ns,energy_nj,area_ge
31,cgpm1,CGPM1,approximate,76.826,5.589156,534.124
31,tam1,TAM1,approximate,74.7685,3.569826,365.552
31,hocm,HOCM (1StepTrunc),approximate,84.4355,4.207989,416.02
31,cgpm3,CGPM3,approximate,88.7693,6.32026,649.804
31,bam,BAM,approximate,56.1746,2.251999,211.182
32,full,Full (RC Array),exact,544.047,9.670713,1024.0
32,sklansky,Sklansky,exact,184.576,33.915597,3591.211
32,carrysel,Carry-Select,exact,242.528,33.915597,3591.211
32,rbr,RBR,exact,187.392,18.040375,1910.236
32,mitchell,Mitchell,approximate,17.084,0.903889,128.0
32,alm_soa,ALM-SOA,approximate,19.5168,1.066589,172.8
32,ilm_aa,ILM-AA,approximate,57.6051,1.310639,268.8
32,cgpm1,CGPM1,approximate,80.1429,5.995842,573.44
32,tam1,TAM1,approximate,78.444,3.825734,391.424
32,hocm,HOCM (1StepTrunc),approximate,88.5965,4.496882,445.44
32,cgpm3,CGPM3,approximate,92.6018,6.769499,696.32
32,bam,BAM,approximate,58.3029,2.382639,223.581
